ID,Nombre,Cédula,Rol,Contraseña,Departamento,Municipio,Zona,Puesto,Mesa,Ubicación Completa,Activo,Presencia Verificada,Último Acceso
3,QUINDIO,Sin cédula,coordinador_departamental,test123,QUINDIO,,,,,QUINDIO,Sí,No,Nunca
4,ARMENIA,Sin cédula,coordinador_municipal,test123,QUINDIO,ARMENIA,,,,QUINDIO - ARMENIA,Sí,No,Nunca
5,BUENAVISTA,Sin cédula,coordinador_municipal,test123,QUINDIO,BUENAVISTA,,,,QUINDIO - BUENAVISTA,Sí,No,Nunca
6,CALARCA,Sin cédula,coordinador_municipal,test123,QUINDIO,CALARCA,,,,QUINDIO - CALARCA,Sí,No,Nunca
7,CIRCASIA,Sin cédula,coordinador_municipal,test123,QUINDIO,CIRCASIA,,,,QUINDIO - CIRCASIA,Sí,No,Nunca
8,CORDOBA,Sin cédula,coordinador_municipal,test123,QUINDIO,CORDOBA,,,,QUINDIO - CORDOBA,Sí,No,Nunca
9,FILANDIA,Sin cédula,coordinador_municipal,test123,QUINDIO,FILANDIA,,,,QUINDIO - FILANDIA,Sí,No,Nunca
10,GENOVA,Sin cédula,coordinador_municipal,test123,QUINDIO,GENOVA,,,,QUINDIO - GENOVA,Sí,No,Nunca
11,LA_TEBAIDA,Sin cédula,coordinador_municipal,test123,QUINDIO,LA TEBAIDA,,,,QUINDIO - LA TEBAIDA,Sí,No,Nunca
12,MONTENEGRO,Sin cédula,coordinador_municipal,test123,QUINDIO,MONTENEGRO,,,,QUINDIO - MONTENEGRO,Sí,No,Nunca
13,PIJAO,Sin cédula,coordinador_municipal,test123,QUINDIO,PIJAO,,,,QUINDIO - PIJAO,Sí,No,Nunca
14,QUIMBAYA,Sin cédula,coordinador_municipal,test123,QUINDIO,QUIMBAYA,,,,QUINDIO - QUIMBAYA,Sí,No,Nunca
15,SALENTO,Sin cédula,coordinador_municipal,test123,QUINDIO,SALENTO,,,,QUINDIO - SALENTO,Sí,No,Nunca
16,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 01,IE TERESITA MONTES SD LUIS C. GALAN S.,,QUINDIO - ARMENIA - Zona 01 - IE TERESITA MONTES SD LUIS C. GALAN S.,Sí,No,Nunca
21,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 02,IE RUFINO SUR SEDE MADRE MARCE,,QUINDIO - ARMENIA - Zona 02 - IE RUFINO SUR SEDE MADRE MARCE,Sí,No,Nunca
25,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 03,IE ZULDEMAYDA,,QUINDIO - ARMENIA - Zona 03 - IE ZULDEMAYDA,Sí,No,Nunca
30,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 04,IE NUESTRA SEÑORA DE BELEN,,QUINDIO - ARMENIA - Zona 04 - IE NUESTRA SEÑORA DE BELEN,Sí,No,Nunca
33,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 05,IE JESUS MARIA OCAMPO,,QUINDIO - ARMENIA - Zona 05 - IE JESUS MARIA OCAMPO,Sí,No,Nunca
37,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 06,IE RUFINO CUERVO CENT SEDE ANT,,QUINDIO - ARMENIA - Zona 06 - IE RUFINO CUERVO CENT SEDE ANT,Sí,No,Nunca
41,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 07,IE RUFINO JOSE CUERVO CENTRO,,QUINDIO - ARMENIA - Zona 07 - IE RUFINO JOSE CUERVO CENTRO,Sí,No,Nunca
45,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 08,IE CIUDAD ARMENIA,,QUINDIO - ARMENIA - Zona 08 - IE CIUDAD ARMENIA,Sí,No,Nunca
49,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 09,IE CRISTOBAL COLON,,QUINDIO - ARMENIA - Zona 09 - IE CRISTOBAL COLON,Sí,No,Nunca
55,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 10,COLISEO SENA,,QUINDIO - ARMENIA - Zona 10 - COLISEO SENA,Sí,No,Nunca
63,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 90,ESTADIO CENTENARIO,,QUINDIO - ARMENIA - Zona 90 - ESTADIO CENTENARIO,Sí,No,Nunca
64,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 98,CARCEL CENTRO PENITENCIARIO SA,,QUINDIO - ARMENIA - Zona 98 - CARCEL CENTRO PENITENCIARIO SA,Sí,No,Nunca
17,ARMENIA_P02,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 01,IE LAURA VICUÑA,,QUINDIO - ARMENIA - Zona 01 - IE LAURA VICUÑA,Sí,No,Nunca
22,ARMENIA_P02,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 02,I.E. ROSANA LONDOÑO,,QUINDIO - ARMENIA - Zona 02 - I.E. ROSANA LONDOÑO,Sí,No,Nunca
26,ARMENIA_P02,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 03,IE LOS QUINDOS,,QUINDIO - ARMENIA - Zona 03 - IE LOS QUINDOS,Sí,No,Nunca
31,ARMENIA_P02,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 04,IE LA ADIELA SEDE LA CECILIA,,QUINDIO - ARMENIA - Zona 04 - IE LA ADIELA SEDE LA CECILIA,Sí,No,Nunca
34,ARMENIA_P02,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 05,IE CIUDAD DORADA,,QUINDIO - ARMENIA - Zona 05 - IE CIUDAD DORADA,Sí,No,Nunca
